0	-0.411371	
0.000909091	-0.411229	
0.00181821	-0.411091	
0.00272736	-0.410956	
0.00363655	-0.410824	
0.00454576	-0.410696	
0.005455	-0.410571	
0.00636428	-0.410448	
0.00727358	-0.410329	
0.00818292	-0.410213	
0.00909228	-0.410101	
0.0100017	-0.409991	
0.0109111	-0.409885	
0.0118206	-0.409782	
0.01273	-0.409682	
0.0136396	-0.409585	
0.0145491	-0.409491	
0.0154587	-0.4094	
0.0163683	-0.409312	
0.0172779	-0.409228	
0.0181876	-0.409147	
0.0190973	-0.409068	
0.020007	-0.408993	
0.0209168	-0.408921	
0.0218266	-0.408852	
0.0227364	-0.408786	
0.0236462	-0.408723	
0.0245561	-0.408664	
0.025466	-0.408607	
0.0263759	-0.408553	
0.0272859	-0.408503	
0.0281959	-0.408455	
0.0291059	-0.408411	
0.0300159	-0.408369	
0.030926	-0.408331	
0.0318361	-0.408295	
0.0327463	-0.408263	
0.0336564	-0.408233	
0.0345666	-0.408207	
0.0354768	-0.408183	
0.0363871	-0.408163	
0.0372974	-0.408146	
0.0382077	-0.408131	
0.039118	-0.40812	
0.0400284	-0.408111	
0.0409388	-0.408106	
0.0418492	-0.408103	
0.0427597	-0.408103	
0.0436701	-0.408099	
0.0445807	-0.408093	
0.0454912	-0.408084	
0.0464018	-0.408072	
0.0473124	-0.408057	
0.048223	-0.408039	
0.0491336	-0.408018	
0.0500443	-0.407994	
0.050955	-0.407967	
0.0518658	-0.407937	
0.0527765	-0.407904	
0.0536873	-0.407869	
0.0545981	-0.40783	
0.055509	-0.407789	
0.0564199	-0.407744	
0.0573308	-0.407697	
0.0582417	-0.407647	
0.0591527	-0.407593	
0.0600637	-0.407537	
0.0609747	-0.407478	
0.0618857	-0.407416	
0.0627968	-0.407351	
0.0637079	-0.407284	
0.064619	-0.407213	
0.0655302	-0.407139	
0.0664414	-0.407063	
0.0673526	-0.406983	
0.0682638	-0.406901	
0.0691751	-0.406816	
0.0700864	-0.406728	
0.0709977	-0.406637	
0.071909	-0.406543	
0.0728204	-0.406446	
0.0737318	-0.406346	
0.0746432	-0.406243	
0.0755547	-0.406138	
0.0764662	-0.406029	
0.0773777	-0.405918	
0.0782892	-0.405804	
0.0792008	-0.405687	
0.0801123	-0.405567	
0.0810239	-0.405444	
0.0819356	-0.405318	
0.0828472	-0.40519	
0.0837589	-0.405058	
0.0846706	-0.404924	
0.0855824	-0.404786	
0.0864942	-0.404646	
0.0874059	-0.404503	
0.0883178	-0.404357	
0.0892296	-0.404209	
0.0901415	-0.404057	
0.0910534	-0.403903	
0.0919653	-0.403745	
0.0928772	-0.403585	
0.0937892	-0.403422	
0.0947012	-0.403256	
0.0956132	-0.403087	
0.0965253	-0.402916	
0.0974373	-0.402741	
0.0983494	-0.402564	
0.0992616	-0.402384	
0.100174	-0.402201	
0.101086	-0.402015	
0.101998	-0.401826	
0.10291	-0.401634	
0.103823	-0.40144	
0.104735	-0.401243	
0.105647	-0.401043	
0.106559	-0.40084	
0.107472	-0.400634	
0.108384	-0.400425	
0.109296	-0.400214	
0.110209	-0.4	
0.111121	-0.399783	
0.112034	-0.399563	
0.112946	-0.39934	
0.113859	-0.399114	
0.114771	-0.398886	
0.115684	-0.398655	
0.116596	-0.398421	
0.117509	-0.398184	
0.118422	-0.397944	
0.119334	-0.397702	
0.120247	-0.397457	
0.12116	-0.397209	
0.122072	-0.396958	
0.122985	-0.396704	
0.123898	-0.396448	
0.124811	-0.396188	
0.125723	-0.395926	
0.126636	-0.395661	
0.127549	-0.395394	
0.128462	-0.395123	
0.129375	-0.39485	
0.130288	-0.394574	
0.131201	-0.394295	
0.132114	-0.394014	
0.133027	-0.393729	
0.13394	-0.393442	
0.134853	-0.393152	
0.135766	-0.392859	
0.136679	-0.392564	
0.137592	-0.392266	
0.138505	-0.391965	
0.139418	-0.391661	
0.140331	-0.391354	
0.141244	-0.391045	
0.142158	-0.390733	
0.143071	-0.390418	
0.143984	-0.3901	
0.144897	-0.38978	
0.145811	-0.389457	
0.146724	-0.389131	
0.147637	-0.388802	
0.14855	-0.388471	
0.149464	-0.388137	
0.150377	-0.3878	
0.151291	-0.38746	
0.152204	-0.387118	
0.153117	-0.386772	
0.154031	-0.386424	
0.154944	-0.386074	
0.155858	-0.38572	
0.156771	-0.385364	
0.157685	-0.385005	
0.158598	-0.384644	
0.159512	-0.38428	
0.160426	-0.383913	
0.161339	-0.383543	
0.162253	-0.38317	
0.163166	-0.382795	
0.16408	-0.382417	
0.164994	-0.382036	
0.165907	-0.381653	
0.166821	-0.381267	
0.167735	-0.380878	
0.168649	-0.380487	
0.169562	-0.380092	
0.170476	-0.379695	
0.17139	-0.379296	
0.172304	-0.378893	
0.173217	-0.378488	
0.174131	-0.378081	
0.175045	-0.37767	
0.175959	-0.377257	
0.176873	-0.376841	
0.177787	-0.376423	
0.178701	-0.376001	
0.179615	-0.375577	
0.180529	-0.375151	
0.181443	-0.374721	
0.182357	-0.374289	
0.183271	-0.373855	
0.184185	-0.373417	
0.185099	-0.372977	
0.186013	-0.372535	
0.186927	-0.372089	
0.187841	-0.371641	
0.188755	-0.37119	
0.189669	-0.370737	
0.190583	-0.370281	
0.191497	-0.369822	
0.192412	-0.369361	
0.193326	-0.368897	
0.19424	-0.36843	
0.195154	-0.36796	
0.196068	-0.367488	
0.196983	-0.367013	
0.197897	-0.366536	
0.198811	-0.366056	
0.199725	-0.365573	
0.20064	-0.365088	
0.201554	-0.3646	
0.202468	-0.364109	
0.203382	-0.363616	
0.204297	-0.36312	
